4000
Atoms. Timestep: 0
1 4.36104 0.527201 8.39939
1 5.75311 0.0506172 1.17545
1 9.95954 0.136294 5.18073
1 1.8147 9.19792 1.3604
1 9.02814 0.142814 4.13645
1 5.84674 0.0494745 6.39549
1 0.107114 8.99349 -2.95853
1 3.56136 -0.153683 9.5648
1 2.10377 9.07301 -1.21191
1 5.61803 10.8241 4.18701
1 -0.244139 0.344574 2.20351
1 12.6355 5.39485 -1.17206
1 1.25196 10.4513 7.52484
1 0.609581 9.00699 -1.60213
1 5.94132 5.42463 3.97725
1 5.66746 4.56781 5.08291
1 7.63695 -0.0049665 4.50259
1 2.7858 0.60816 10.4246
1 2.6897 8.92196 0.14294
1 4.32454 2.02648 8.41445
1 6.4668 6.85386 4.28781
1 6.80406 -0.0895595 2.20835
1 4.07749 8.55209 0.307616
1 13.1937 4.27403 -1.90878
1 -1.00355 -0.92163 1.97373
1 5.19342 3.24809 4.8591
1 3.75429 2.71444 9.6114
1 6.59648 -0.0735803 3.56863
1 4.65371 7.67173 1.2754
1 7.25232 -0.151552 5.96815
1 3.98737 4.16671 9.84917
1 6.09289 4.8936 2.57633
1 13.4246 5.95942 3.12425
1 14.7679 2.39552 -1.93243
1 13.7393 4.7117 0.935958
1 12.3485 6.77495 2.47813
1 14.1055 3.41247 0.260272
1 13.5186 1.51101 5.74469
1 12.8545 5.61556 0.221232
1 11.3398 -0.854545 9.92527
1 14.0395 4.89093 2.3309
1 16.3744 6.99826 4.1209
1 8.199 -0.402786 6.90517
1 16.8382 1.59898 2.14082
1 7.53585 6.66785 6.38919
1 12.0773 6.60926 0.974077
1 8.72966 6.53273 7.25558
1 15.0644 7.22306 4.75974
1 14.6299 2.15675 0.878053
1 10.3084 -0.643962 8.9227
1 11.4119 7.45095 3.23831
1 10.673 -0.238866 7.58392
1 14.7363 8.52775 5.45901
1 13.9885 3.32217 -1.21682
1 11.4803 7.76248 0.215817
1 16.1151 1.94346 0.965275
1 9.63755 -0.335744 6.50228
1 13.9805 6.20634 4.50335
1 11.3208 0.508208 4.91412
1 13.7311 1.56607 1.93846
1 12.2002 8.47505 -0.764821
1 13.5109 1.98417 3.25808
1 12.3389 0.664368 5.91923
1 12.7425 11.0402 -3.23222
1 18.7534 0.936329 4.15798
1 21.4996 6.28183 1.93342
1 19.8462 1.84343 3.75371
1 16.6003 5.85643 3.34321
1 20.6765 4.11498 2.92931
1 20.4249 0.43887 7.19376
1 16.528 1.96635 3.51851
1 17.0126 -0.910738 7.13932
1 19.5497 3.26921 3.45365
1 22.9277 8.16748 4.12545
1 14.1836 1.46239 4.43998
1 23.0192 4.3562 2.43779
1 22.1869 7.28603 8.49221
1 17.1006 3.12058 4.1955
1 21.074 5.09878 8.9532
1 23.0169 9.23049 5.16245
1 22.2037 2.15663 3.29839
1 17.1564 -0.0640585 5.88041
1 17.8926 5.25119 3.14037
1 18.4001 0.629497 5.55045
1 21.8414 4.27757 9.88107
1 20.3914 5.47707 2.47022
1 18.2496 3.86737 3.66262
1 21.9849 3.5778 2.89064
1 15.5928 1.08858 4.3223
1 21.091 6.55819 9.09469
1 16.1242 -0.0954289 4.93425
1 21.1913 1.32906 3.72831
1 19.0658 6.04362 2.67
1 21.3228 -0.158037 3.90897
1 18.5265 4.61113 6.01575
1 18.9564 7.49983 2.44156
1 25.2371 1.32138 6.57985
1 24.1454 -2.36152 -0.302642
1 25.4111 2.61866 5.94107
1 24.0421 7.74591 3.36452
1 26.3588 5.72087 5.36166
1 29.5708 4.53725 8.10509
1 22.846 5.85348 2.09287
1 24.4836 -1.19365 8.20778
1 24.9067 6.81634 1.11296
1 27.5806 8.61466 4.287
1 20.7156 -0.794157 5.06537
1 27.1847 4.1866 2.21921
1 27.1866 6.76635 5.99117
1 23.9599 6.78475 2.22908
1 26.4428 9.15063 6.5928
1 28.7741 7.49013 7.86852
1 26.8607 4.53372 4.79198
1 23.5904 -0.516042 7.27936
1 25.519 5.54581 0.623222
1 24.16 0.477445 6.30338
1 28.4942 5.06431 7.31163
1 24.2218 -2.85907 -1.66249
1 25.354 8.09326 0.654836
1 26.317 4.34367 3.37152
1 21.1467 -0.490249 6.42442
1 28.1 6.42162 7.13717
1 22.283 -1.16334 6.91761
1 28.4088 4.45984 4.6553
1 26.8931 8.43666 3.03768
1 26.6786 3.26416 5.73223
1 19.2297 1.12752 6.63434
1 24.2984 10.4587 0.989313
1 31.5293 3.18808 -0.379202
1 31.3572 0.222128 -1.15647
1 35.8351 6.73831 3.65196
1 28.2199 6.45201 2.13015
1 32.6146 2.44706 -1.12219
1 38.3708 7.39772 4.95941
1 28.2899 5.03232 1.89856
1 33.2134 3.95717 7.25213
1 31.7506 4.49609 0.182362
1 36.7676 7.66833 1.46776
1 27.9848 2.60092 6.03361
1 33.0275 5.11212 -0.0146927
1 33.2342 7.52624 7.67029
1 29.4448 4.4498 1.18648
1 34.6358 6.3667 3.03756
1 36.9524 7.33844 2.8975
1 33.9628 3.04889 -1.19553
1 32.7867 4.58603 6.01676
1 30.807 6.57171 1.29342
1 31.4746 4.28964 5.42083
1 38.164 7.60389 3.52379
1 32.3912 1.14023 -1.72239
1 30.667 5.17521 0.861708
1 34.0917 4.40731 -0.670239
1 29.1221 3.39782 5.51003
1 33.6647 5.72038 3.8471
